,Date,Latitude,Longitude,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
5724,2004-06-02,36,-90,1173245,5406044,ARKANSAS,5,Thunderstorm Wind,C,93,MISSISSIPPI,MEG,CST,0,0,0,0,5K,,EMERGENCY MANAGER,50.0,EG,,,,,,,,,,,Some trees were blown down.,PDS
5725,2004-06-02,36,-90,1173245,5406045,ARKANSAS,5,Tornado,C,93,MISSISSIPPI,MEG,CST,0,0,0,0,1K,10K,AMATEUR RADIO,,,,,F0,0.3,50.0,,,,,,A tornado briefly touched down near Manila. A portion of a cotton field was destroyed. A couple of trees were blown down.,PDS
5726,2004-06-22,35,-87,1172968,5406198,TENNESSEE,47,Thunderstorm Wind,C,103,LINCOLN,HUN,CST,0,0,0,0,,,UTILITY COMPANY,50.0,ES,,,,,,,,,,,A few power lines were blown down due to thunderstorm winds.,PDS
5727,2004-06-22,35,-87,1172968,5406199,TENNESSEE,47,Thunderstorm Wind,C,103,LINCOLN,HUN,CST,0,0,0,0,,,UTILITY COMPANY,50.0,ES,,,,,,,,,,,A few power lines were blown down about 5 miles southeast of Petersburg Tennessee due to thunderstorm winds.,PDS
5728,2004-06-22,35,-87,1172968,5406200,TENNESSEE,47,Thunderstorm Wind,C,103,LINCOLN,HUN,CST,0,0,0,0,,,UTILITY COMPANY,50.0,ES,,,,,,,,,,,A few trees were blown down due to thunderstorm winds.,PDS
5729,2004-06-22,35,-86,1172968,5406201,TENNESSEE,47,Thunderstorm Wind,C,51,FRANKLIN,HUN,CST,0,0,0,0,,,UTILITY COMPANY,50.0,ES,,,,,,,,,,,A few power lines were blown down due to thunderstorm winds.,PDS
5730,2004-06-23,35,-86,1172969,5406202,ALABAMA,1,Thunderstorm Wind,C,71,JACKSON,HUN,CST,0,0,0,0,,,DEPT OF HIGHWAYS,50.0,ES,,,,,,,,,,,A few trees were blown down by thunderstorm winds.,PDS
5731,2004-06-23,35,-86,1172969,5406203,ALABAMA,1,Thunderstorm Wind,C,49,DEKALB,HUN,CST,0,0,0,0,,,UTILITY COMPANY,50.0,ES,,,,,,,,,,,A few power lines were blown down by thunderstorm winds.,PDS
5732,2004-06-24,35,-88,1172970,5406204,ALABAMA,1,Thunderstorm Wind,C,77,LAUDERDALE,HUN,CST,0,0,0,0,,,EMERGENCY MANAGER,50.0,ES,,,,,,,,,,,A tree and a few power lines blown down by thunderstorm winds.,PDS
5733,2004-06-11,33,-100,1173597,5406814,TEXAS,48,Thunderstorm Wind,C,433,STONEWALL,LUB,CST,0,0,0,0,10K,,LAW ENFORCEMENT,55.0,EG,,,,,,,,,,,Strong thunderstorm winds removed siding from a building.,PDS
5734,2004-06-12,34,-101,1173598,5406815,TEXAS,48,Hail,C,125,DICKENS,LUB,CST,0,0,0,0,,25K,LAW ENFORCEMENT,1.0,,,,,,,,,,,,,PDS
5735,2004-06-12,34,-101,1173598,5406816,TEXAS,48,Hail,C,345,MOTLEY,LUB,CST,0,0,0,0,,100K,FIRE DEPT/RESCUE SQUAD,1.75,,,,,,,,,,,,Matador Fire Department reported quarter to golfball size hail.,PDS
5736,2004-06-12,33,-101,1173598,5406817,TEXAS,48,Hail,C,263,KENT,LUB,CST,0,0,0,0,,50K,LAW ENFORCEMENT,1.0,,,,,,,,,,,,,PDS
5737,2004-06-21,35,-102,1174607,5410238,TEXAS,48,Hail,C,381,RANDALL,AMA,CST,0,0,0,0,20M,,TRAINED SPOTTER,1.75,,,,,,,,,,,Severe thunderstorms containing large and damaging hail along with a few tornadoes and flooding rainfall moved across the Texas panhandle during the evening hours. The hardest hit areas from the large hail and tornadoes were from northwest Amarillo to the northern sections of Canyon where the hospital district and Baptist St. Anthony's hospital sustained major damage to windows. A tornado just east of Canyon produced major damage. The total cost of the hail was approximately one hundred and seventy-five million dollars. The Insurance Council of Texas has ranked this event as the sixth costliest hail storm in Texas history. No injuries were reported from the tornadoes and hail.,Reported at 34th and Georgia Street. The large hail damaged roofs to many homes.,PDS
5738,2004-06-21,35,-102,1174607,5410359,TEXAS,48,Thunderstorm Wind,C,65,CARSON,AMA,CST,0,0,0,0,,,TRAINED SPOTTER,56.0,EG,,,,,,,,,,Severe thunderstorms containing large and damaging hail along with a few tornadoes and flooding rainfall moved across the Texas panhandle during the evening hours. The hardest hit areas from the large hail and tornadoes were from northwest Amarillo to the northern sections of Canyon where the hospital district and Baptist St. Anthony's hospital sustained major damage to windows. A tornado just east of Canyon produced major damage. The total cost of the hail was approximately one hundred and seventy-five million dollars. The Insurance Council of Texas has ranked this event as the sixth costliest hail storm in Texas history. No injuries were reported from the tornadoes and hail.,Reported twelve miles west of the town of Conway.,PDS
